[600.         981.86472181] | [[ 0.7211549 ,  0.05289095, -0.05736423, -0.00842876,  0.04157727,  -0.00333153, -0.00787799], [ 0.47906907, -0.01341614, -0.05565954,  0.0083231 ,  0.01790405,   0.01347293, -0.03631251]]
[ 600.         1002.53603163] | [[-0.46620138,  0.02031579, -0.07214383,  0.05502039, -0.02209329,  -0.01470944,  0.07378165], [ 0.14161198,  0.05435859, -0.01864292,  0.03711286, -0.01491954,   0.02082812, -0.00744869]]
[ 600.         1079.14226074] | [[ 1.19439838,  0.02763534, -0.05993214, -0.00976958, -0.01059745,  -0.02906683,  0.00991417], [ 0.51141915, -0.01325541,  0.03669368,  0.06840427, -0.01347835,  -0.00695103,  0.00675393]]
[ 600.         1522.87254606] | [[-0.02702806, -0.02370002, -0.00671814, -0.0695482 , -0.00562037,  -0.06561127, -0.02965042], [ 0.68009657, -0.01229099,  0.05181273, -0.00329621,  0.08225184,  -0.00458967,  0.00844367]]
[600.        774.1280475] | [[ 0.42978185, -0.00232938,  0.01320432, -0.03146527,  0.006931  ,  -0.01943179,  0.0072896 ], [-0.30434767, -0.05887802, -0.03339564,  0.00359371,  0.00822434,   0.00280238,  0.04348572]]
[ 600.         1230.68781087] | [[-2.16422564e-01, -1.03525699e-02, -1.37823107e-02, -5.65971666e-02,   6.89288382e-02, -8.05584445e-03,  5.06764361e-03], [-7.92545977e-01, -9.58788164e-03, -2.87709368e-02, -4.58776543e-03,  -2.76144566e-04,  2.25835762e-02, -4.43704917e-02]]
[600.         921.68323691] | [[-5.74088095e-02,  2.82408891e-04,  6.89545091e-03,  1.12753660e-02,   4.33731206e-02,  5.11562352e-02,  2.86781190e-02], [ 8.33204178e-01, -5.06091461e-02, -3.77574639e-03, -1.54617696e-02,   4.00692427e-03,  4.74524358e-02, -1.80534697e-02]]
[ 600.         1570.12294516] | [[ 0.01120951, -0.00867527, -0.04153692,  0.0060805 , -0.00269504,   0.02890033,  0.05656229], [ 1.03255786, -0.01817287, -0.03557218, -0.01983693, -0.00993223,  -0.07423548,  0.03072959]]
[600.         866.17336206] | [[-0.0116181 ,  0.02732699, -0.01699254, -0.00753883, -0.03830658,   0.05245436,  0.03450813], [ 0.27668492,  0.05694462, -0.00367001, -0.06059832, -0.03267706,   0.03011095,  0.03514651]]
[ 600.         1297.50105021] | [[ 5.70108202e-02, -5.07800118e-02, -4.24334877e-02, -3.03384354e-05,  -3.35335683e-02, -4.49694800e-03,  9.01734925e-03], [ 1.02872946e+00, -1.00834447e-02, -8.89626874e-03,  2.16303490e-02,   1.50131958e-02,  3.87380621e-02, -1.11118239e-02]]
[600.         960.92990282] | [[ 0.12675628, -0.03263147, -0.02747445, -0.01781782,  0.05336496,  -0.0168716 , -0.01372261], [-0.3986078 ,  0.03352563, -0.06178072,  0.035118  ,  0.02533721,  -0.01342962,  0.04467556]]
[ 600.         1208.60425288] | [[-0.01792645, -0.00989961,  0.002225  ,  0.02277823, -0.0154213 ,   0.03888858, -0.00196469], [-0.12985771,  0.00861803, -0.01648206,  0.03110072,  0.02443014,  -0.03875744, -0.04934025]]
[600.        852.2464094] | [[-0.01719663, -0.03099628, -0.05749303,  0.00641868,  0.02384145,  -0.02109821,  0.02941712], [ 0.46000366, -0.04638031, -0.02153627, -0.03802643,  0.02968367,  -0.05361628,  0.01393711]]
[ 600.         1062.15597942] | [[ 4.98899054e-02, -6.84379612e-02, -6.94065614e-03, -6.75390535e-02,   3.61590509e-03, -4.99420726e-03,  8.91332635e-02], [-2.91526484e-01,  3.51711640e-02, -6.35436452e-02,  2.81866587e-05,   1.61801560e-02,  1.92148655e-02, -1.33398851e-02]]
[ 600.         1277.40941401] | [[-0.25497944,  0.03257783,  0.06214738,  0.01548112,  0.03566991,  -0.003605  , -0.04106365], [-0.50490354,  0.0211414 ,  0.00818227, -0.05536954,  0.05146164,   0.03367711,  0.0706433 ]]
[ 600.         1087.29196867] | [[ 0.17004878, -0.04166473,  0.00211564,  0.01885979, -0.00111083,  -0.01026967, -0.08115519], [-0.33402422,  0.0311666 ,  0.01390745,  0.02104529,  0.01638687,  -0.03216367,  0.02145213]]
[600.         909.42065579] | [[-0.74340556,  0.01210824, -0.01760755, -0.02868606,  0.01888477,  -0.01681097, -0.02660406], [ 0.65296286,  0.03497329,  0.04672042, -0.05538024, -0.01754059,   0.00659184,  0.00425509]]
[ 600.         1491.27955708] | [[ 0.56495066,  0.04245813,  0.02389492, -0.01370511, -0.02106906,   0.00059195,  0.05729481], [ 0.08572442,  0.07593073,  0.02208674, -0.03314866,  0.0121666 ,   0.03317649,  0.02743408]]
[ 600.       1507.151783] | [[ 0.17700135,  0.02771167, -0.03394957,  0.01183701, -0.01202862,  -0.01347381, -0.01989334], [-0.79838283,  0.02009343, -0.02437724, -0.01654893,  0.00388095,  -0.01483943,  0.00361079]]
[ 600.        1096.4323853] | [[ 0.12989058,  0.05126444, -0.02551731, -0.03591065,  0.01306329,  -0.0010409 ,  0.01539254], [ 0.7862335 ,  0.03663612,  0.00642466, -0.02512406, -0.00960584,  -0.00432746, -0.007582  ]]
[ 600.         1102.37119273] | [[-1.03512335, -0.02396057,  0.06691149, -0.04812553,  0.00119961,   0.02506984, -0.02285734], [ 0.45459539,  0.02169604,  0.04856168, -0.03770072,  0.02635987,   0.00757303,  0.02376663]]
[600.         849.09730151] | [[-0.5954508 , -0.00524187, -0.02926714, -0.03805281,  0.08046884,   0.00292723, -0.06260164], [-0.00311894,  0.0115286 ,  0.01253441,  0.0593286 , -0.00351434,   0.03121675, -0.01182521]]
[ 600.         1236.70431774] | [[ 6.37674125e-02,  1.63575152e-02, -3.39593004e-02, -6.94917648e-03,   7.87698469e-03, -5.74594097e-02,  4.76462006e-02], [ 2.47744100e-01,  5.52768886e-02, -8.33732508e-03,  4.80600736e-05,   1.18171611e-02,  3.95961490e-02, -6.15082936e-03]]
[600.         951.65828673] | [[-0.0288694 , -0.00154339,  0.05127   , -0.0252533 ,  0.00779968,   0.01238743,  0.03527997], [ 0.84348402, -0.04066647,  0.01953701,  0.00267174, -0.02920431,  -0.00526231,  0.03028601]]
[600.         917.79313145] | [[-1.82158650e-01,  3.18303182e-02,  9.98719472e-03, -4.14096037e-02,  -5.08254988e-02, -1.11296734e-02,  5.88124418e-05], [-8.81969840e-01,  2.17844378e-02,  2.97647394e-03,  1.78129159e-03,  -3.45343270e-02,  2.27503322e-02,  5.20828624e-02]]
[ 600.        1033.3036215] | [[ 0.35794391,  0.02954113,  0.01529868,  0.01534181, -0.00119877,  -0.06437995,  0.01283807], [ 0.52255885,  0.01570901,  0.04007647, -0.01307346, -0.01980912,   0.00387833, -0.00981033]]
[ 600.         1724.69988328] | [[ 2.69727809e-01,  4.97641602e-03,  7.97743379e-02, -1.08282320e-02,  -7.99563965e-05,  6.30667691e-02,  9.88993812e-04], [ 3.04547176e-01, -4.96436740e-02, -2.22613432e-03, -2.79419942e-02,   3.83230718e-03, -4.39116400e-03, -1.35812853e-02]]
[ 600.         1310.02272548] | [[ 0.23565677,  0.01052535,  0.01962277, -0.05817375,  0.0097345 ,  -0.0166798 ,  0.01357954], [ 0.54830963, -0.0420554 , -0.00291425, -0.01506183,  0.05197055,   0.01655854,  0.05532427]]
[ 600.         1063.15058025] | [[ 0.17993339,  0.00920664,  0.03549371, -0.06832771,  0.05279439,   0.04721389, -0.03249703], [-0.34589465,  0.01013195,  0.01014908, -0.01766915,  0.00502486,  -0.01703609,  0.00905146]]
[600.         765.10315889] | [[-0.20470892, -0.00483054, -0.04645708,  0.04809687, -0.03767328,  -0.0266403 ,  0.02129743], [-0.09066186, -0.03795538,  0.02420333, -0.00624641,  0.00400126,   0.00265819,  0.02387323]]
[ 600.        1261.6257098] | [[ 0.56874183, -0.01070405,  0.00154688, -0.01208429,  0.01988709,   0.08544588, -0.00285286], [ 0.52689207, -0.01409226, -0.00068429, -0.00677593, -0.02921346,  -0.02095324,  0.01775127]]
[600.         972.53376223] | [[ 0.3060406 , -0.02757779, -0.03350287, -0.01665883, -0.01777642,   0.04003636,  0.00845276], [-0.11166609,  0.00391089,  0.02480609, -0.00140278,  0.02890224,   0.02739611,  0.02079112]]
[ 600.         1086.48894812] | [[ 0.13847609,  0.01605362,  0.04849104,  0.04206708,  0.00849868,   0.02809892,  0.01318502], [-0.35430879,  0.03621408,  0.08511089,  0.03131102,  0.01602826,  -0.04561911, -0.01077019]]
[600.         935.93337478] | [[-0.19652636,  0.00305844,  0.0246794 , -0.00090029, -0.01817869,  -0.00034917,  0.04897481], [-0.11501257,  0.04299904, -0.03489123,  0.00479968, -0.06258917,   0.06152611,  0.00766276]]
[ 600.         1002.34587476] | [[-1.05723504, -0.00949423,  0.01960444, -0.01071624, -0.0076177 ,   0.01107619,  0.06554569], [-0.33927766, -0.01642218,  0.01549335, -0.00734431, -0.01621743,   0.02474014,  0.01504172]]
[ 600.         1479.21406959] | [[ 0.41455644, -0.06071298, -0.00060933, -0.06940095,  0.01942427,  -0.0531699 ,  0.02545893], [ 0.45751316,  0.001944  ,  0.02668768, -0.014128  , -0.00194132,  -0.04736089, -0.0030695 ]]
[600.         701.51090254] | [[-0.59390686, -0.02667838, -0.02897752,  0.03793276, -0.06428359,  -0.03103653, -0.00190798], [ 0.11187567,  0.00131246,  0.06184138, -0.01310514, -0.02562927,   0.03190435, -0.00961818]]
[ 600.         1150.19462038] | [[-0.51055568, -0.04838469,  0.02160974,  0.00151357,  0.05338885,  -0.01081092,  0.02879445], [ 0.3279895 , -0.01515479,  0.02980663,  0.07332687, -0.04342758,   0.02377412,  0.06179979]]
[ 600.         1135.00157328] | [[ 0.00514608, -0.03089785, -0.02059508, -0.02309509,  0.0070858 ,   0.09767457,  0.03645999], [-0.63743414, -0.01014883,  0.02084716,  0.01834963, -0.06154399,   0.02409165, -0.00770317]]
[ 600.         1010.95566259] | [[-0.33598329, -0.05321587, -0.00163477,  0.00101962,  0.01352737,   0.02277942, -0.04312921], [-0.35698048,  0.0429826 , -0.02798912, -0.03686926,  0.01890483,  -0.00501863,  0.0410917 ]]
